month,hour,DEWP,TEMP,Iws,Is,Ir,pm2.5
1,7,-21,-13,73.75,0,0,29
1,8,-22,-13,80.9,0,0,26
1,9,-22,-13,90.73,0,0,27
1,10,-22,-12,100.56,0,0,27
1,11,-23,-12,108.61,0,0,25
1,12,-21,-11,117.55,0,0,29
1,13,-20,-10,127.38,0,0,32
1,14,-21,-10,136.32,0,0,28
1,15,-21,-9,145.26,0,0,29
1,16,-21,-9,152.41,0,0,30
1,17,-20,-11,159.56,0,0,30
1,18,-23,-11,165.37,0,0,28
1,19,-21,-12,171.18,0,0,26
1,20,-24,-12,180.12,0,0,31
1,21,-24,-13,187.27,0,0,33
1,22,-24,-13,195.32,0,0,29
1,23,-26,-15,198.45,0,0,31
1,0,-26,-17,201.58,0,0,30
1,1,-26,-18,205.6,0,0,34
1,2,-26,-19,208.73,0,0,27
1,3,-27,-18,213.65,0,0,25
1,4,-27,-19,218.57,0,0,28
1,5,-27,-16,4.92,0,0,28
1,6,-26,-16,8.05,0,0,27
1,7,-27,-16,13.86,0,0,27
1,8,-26,-16,18.78,0,0,27
1,9,-26,-15,24.59,0,0,29
1,10,-25,-14,29.51,0,0,36
1,11,-25,-13,34.43,0,0,30
1,12,-25,-12,39.35,0,0,27
1,13,-24,-11,41.14,0,0,39
1,14,-22,-11,0.89,0,0,41
1,15,-23,-11,1.79,0,0,33
1,16,-24,-11,3.58,0,0,50
1,17,-23,-11,5.37,0,0,56
1,18,-23,-11,7.16,0,0,59
1,19,-22,-13,10.29,0,0,60
1,20,-22,-12,13.42,0,0,84
1,21,-24,-18,16.55,0,0,106
1,22,-22,-13,20.57,0,0,66
1,23,-22,-16,23.7,0,0,50
1,0,-25,-17,26.83,0,0,56
1,1,-25,-14,4.02,0,0,77
1,2,-26,-14,8.04,0,0,50
1,3,-26,-14,13.85,0,0,44
1,4,-26,-14,17.87,0,0,27
1,5,-26,-14,23.68,0,0,28
1,6,-26,-14,28.6,0,0,21
1,7,-26,-15,33.52,0,0,25
1,8,-26,-14,39.33,0,0,20
1,9,-25,-13,44.25,0,0,29
1,10,-25,-12,50.06,0,0,34
1,11,-24,-11,54.98,0,0,42
1,12,-24,-10,59,0,0,28
1,13,-22,-10,4.02,0,0,36
1,14,-22,-9,5.81,0,0,48
1,15,-22,-8,0.89,0,0,49
1,16,-22,-8,1.79,0,0,52
1,17,-21,-9,3.58,0,0,56
1,18,-22,-9,5.37,0,0,96
1,19,-22,-14,0.89,0,0,75
1,20,-22,-12,1.79,0,0,105
1,21,-21,-14,3.58,0,0,132
1,22,-22,-16,5.37,0,0,93
1,23,-21,-16,7.16,0,0,131
1,0,-21,-16,8.95,0,0,127
1,1,-21,-16,0.45,0,0,130
1,2,-22,-18,1.34,0,0,43
1,3,-23,-15,4.02,0,0,37
1,4,-24,-16,7.15,0,0,30
1,5,-25,-15,10.28,0,0,28
1,6,-24,-15,14.3,0,0,24
1,7,-25,-13,4.92,0,0,23
1,8,-24,-14,4.02,0,0,24
1,9,-23,-12,8.94,0,0,27
1,10,-22,-11,12.96,0,0,40
1,11,-20,-10,16.09,0,0,42
1,12,-21,-9,19.22,0,0,42
1,13,-21,-8,21.01,0,0,55
1,14,-20,-7,22.8,0,0,52
1,15,-20,-7,24.59,0,0,51
1,16,-18,-8,26.38,0,0,57
1,17,-19,-9,28.17,0,0,50
1,18,-19,-11,0.89,0,0,54
1,19,-18,-11,1.79,0,0,67
1,20,-19,-15,1.79,0,0,106
1,21,-19,-14,0.45,0,0,159
1,22,-21,-14,1.34,0,0,198
1,23,-21,-16,2.23,0,0,190
1,0,-21,-17,1.79,0,0,210
1,1,-19,-16,3.58,0,0,195
1,2,-20,-16,0.89,0,0,275
1,3,-19,-15,0.89,0,0,164
1,4,-18,-15,0.45,0,0,110
1,5,-18,-15,1.34,0,0,100
1,6,-18,-15,1.79,0,0,81
1,7,-16,-13,0.89,0,0,71
1,8,-16,-12,0.89,0,0,66
1,9,-16,-12,1.78,0,0,92
1,10,-17,-10,0.89,0,0,135
1,11,-16,-10,0.89,0,0,155
1,12,-16,-9,3.13,0,0,198
1,13,-15,-8,4.92,0,0,250
1,14,-16,-8,0.89,0,0,200
1,15,-16,-8,1.78,0,0,231
1,16,-16,-8,2.67,0,0,250
1,17,-17,-8,0.89,0,0,212
1,18,-17,-9,0.45,0,0,219
1,19,-17,-11,1.34,0,0,227
1,20,-17,-12,1.79,0,0,226
1,21,-18,-14,1.79,0,0,225
1,22,-16,-9,4.92,0,0,168
1,23,-16,-11,6.71,0,0,169
1,0,-17,-13,0.89,0,0,165
1,1,-17,-13,3.13,0,0,159
1,2,-17,-14,4.92,0,0,167
1,3,-17,-15,8.05,0,0,196
1,4,-17,-13,9.84,0,0,169
1,5,-19,-16,13.86,0,0,155
1,6,-18,-15,17.88,0,0,119
1,7,-19,-15,21.9,0,0,106
1,8,-18,-14,25.92,0,0,93
1,9,-18,-9,5.81,0,0,84
1,10,-17,-7,11.62,0,0,73
1,11,-17,-6,17.43,0,0,66
1,12,-16,-6,23.24,0,0,40
1,13,-16,-5,28.16,0,0,49
1,14,-15,-4,33.08,0,0,50
1,15,-14,-4,37.1,0,0,49
1,16,-15,-4,38.89,0,0,41
1,17,-15,-4,1.79,0,0,37
1,18,-15,-7,3.13,0,0,45
1,19,-15,-6,3.13,0,0,44
1,20,-15,-7,4.92,0,0,54
1,21,-15,-6,3.13,0,0,50
1,22,-15,-8,0.45,0,0,47
1,23,-15,-8,0.9,0,0,66
1,0,-15,-11,0.89,0,0,75
1,1,-17,-13,1.78,0,0,82
1,2,-17,-12,4.91,0,0,66
1,3,-17,-13,8.04,0,0,83
1,4,-19,-14,9.83,0,0,62
1,5,-18,-13,12.96,0,0,40
1,6,-19,-13,16.09,0,0,23
1,7,-19,-14,19.22,0,0,25
1,8,-19,-14,22.35,0,0,27
1,9,-17,-12,24.14,0,0,35
1,10,-16,-7,4.02,0,0,50
1,11,-15,-7,3.13,0,0,70
1,12,-15,-7,6.26,0,0,75
1,13,-14,-6,9.39,0,0,58
1,14,-14,-6,12.52,0,0,70
1,15,-13,-5,14.31,0,0,68
1,16,-14,-5,16.1,0,0,71
1,17,-14,-6,19.23,0,0,88
1,18,-13,-7,23.25,0,0,84
1,19,-15,-6,27.27,0,0,83
1,20,-15,-6,30.4,0,0,66
1,21,-15,-4,35.32,0,0,27
1,22,-16,-4,44.26,0,0,24
1,23,-17,-5,52.31,0,0,22
1,0,-17,-6,60.36,0,0,23
1,1,-17,-8,0.89,0,0,27
1,2,-19,-11,4.02,0,0,23
1,3,-20,-11,8.94,0,0,17
1,4,-21,-11,4.02,0,0,17
1,5,-22,-12,3.13,0,0,16
1,6,-22,-12,4.92,0,0,16
1,7,-22,-13,5.81,0,0,20
1,8,-22,-9,13.86,0,0,20
1,9,-22,-10,21.91,0,0,18
1,10,-22,-9,29.06,0,0,25
1,11,-21,-9,33.08,0,0,26
1,12,-20,-6,42.02,0,0,27
1,13,-19,-5,50.96,0,0,28
1,14,-19,-5,59.01,0,0,15
1,15,-20,-5,66.16,0,0,24
1,16,-20,-5,71.97,0,0,13
1,17,-20,-5,76.89,0,0,13
1,18,-20,-7,81.81,0,0,13
1,19,-22,-7,85.83,0,0,17
1,20,-22,-8,89.85,0,0,20
1,21,-23,-10,91.64,0,0,27
1,22,-23,-13,93.43,0,0,20
1,23,-22,-12,0.89,0,0,15
1,0,-22,-15,1.78,0,0,21
1,1,-22,-14,1.79,0,0,21
1,2,-22,-14,0.89,0,0,37
1,3,-24,-18,1.79,0,0,26
1,4,-24,-13,3.58,0,0,15
1,5,-25,-14,3.13,0,0,9
1,6,-24,-14,7.15,0,0,11
1,7,-25,-12,12.96,0,0,11
1,8,-26,-14,16.98,0,0,16
1,9,-25,-12,21,0,0,13
1,10,-25,-11,26.81,0,0,15
1,11,-24,-11,35.75,0,0,21
1,12,-23,-11,47.82,0,0,24
1,13,-22,-11,63.02,0,0,22
1,14,-23,-11,75.98,0,0,22
1,15,-22,-11,88.05,0,0,22
1,16,-23,-11,101.01,0,0,19
1,17,-24,-11,109.06,0,0,23
1,18,-24,-11,118,0,0,25
1,19,-23,-11,126.05,0,0,25
1,20,-23,-12,134.1,0,0,31
1,21,-24,-12,142.15,0,0,25
1,22,-23,-12,150.2,0,0,22
1,23,-23,-12,160.03,0,0,22
1,0,-24,-12,169.86,0,0,15
1,1,-24,-12,178.8,0,0,16
1,2,-25,-12,189.98,0,0,11
1,3,-24,-13,198.03,0,0,11
1,4,-25,-12,205.18,0,0,12
1,5,-25,-12,215.01,0,0,11
1,6,-25,-12,226.19,0,0,12
1,7,-25,-12,235.13,0,0,27
1,8,-25,-12,243.18,0,0,28
1,9,-23,-11,252.12,0,0,34
1,10,-23,-10,257.93,0,0,33
1,11,-22,-9,263.74,0,0,36
1,12,-21,-8,270.89,0,0,26
1,13,-21,-6,278.94,0,0,49
1,14,-20,-5,286.99,0,0,52
1,15,-22,-5,294.14,0,0,47
1,16,-21,-5,299.06,0,0,47
1,17,-19,-7,1.79,0,0,39
1,18,-19,-8,0.45,0,0,59
1,19,-20,-9,1.34,0,0,76
1,20,-19,-10,1.79,0,0,96
1,21,-19,-13,0.89,0,0,95
1,22,-18,-12,1.78,0,0,68
1,23,-18,-13,0.89,0,0,65
1,0,-18,-14,1.78,0,0,75
1,1,-20,-15,2.67,0,0,257
1,2,-20,-15,0.89,0,0,174
1,3,-20,-16,1.78,0,0,164
1,4,-20,-16,3.57,0,0,161
1,5,-21,-17,6.7,0,0,137
1,6,-19,-14,10.72,0,0,92
1,7,-21,-17,13.85,0,0,64
1,8,-19,-15,15.64,0,0,87
1,9,-19,-14,18.77,0,0,87
1,10,-18,-10,22.79,0,0,84
1,11,-17,-9,24.58,0,0,95
1,12,-16,-6,26.37,0,0,79
1,13,-17,-5,28.16,0,0,75
1,14,-16,-5,29.95,0,0,79
1,15,-15,-4,33.08,0,0,86
1,16,-16,-4,0.89,0,0,72
1,17,-15,-5,1.79,0,0,89
1,18,-14,-3,5.81,0,0,94
1,19,-16,-3,11.62,0,0,69
1,20,-15,-4,20.56,0,0,49
1,21,-16,-5,24.58,0,0,33
1,22,-17,-6,3.13,0,0,27
1,23,-18,-6,8.05,0,0,20
1,0,-19,-7,13.86,0,0,36
1,1,-17,-8,5.81,0,0,37
1,2,-18,-10,11.62,0,0,30
1,3,-19,-10,14.75,0,0,18
1,4,-19,-9,19.67,0,0,21
1,5,-19,-9,7.15,0,0,13
1,6,-20,-9,12.96,0,0,23
1,7,-19,-9,18.77,0,0,26
1,8,-19,-8,22.79,0,0,27
1,9,-19,-8,28.6,0,0,30
1,10,-19,-7,35.75,0,0,28
1,11,-18,-6,41.56,0,0,26
1,12,-18,-5,45.58,0,0,26
1,13,-17,-4,1.79,0,0,31
1,14,-16,-3,0.89,0,0,35
1,15,-17,-3,1.78,0,0,36
1,16,-17,-2,2.23,0,0,37
1,17,-15,-5,0.89,0,0,64
1,18,-15,-6,0.89,0,0,83
1,19,-15,-6,1.78,0,0,91
1,20,-14,-6,1.79,0,0,90
1,21,-14,-8,3.58,0,0,102
1,22,-14,-10,0.89,0,0,94
1,23,-15,-11,1.78,0,0,87
1,0,-15,-11,2.67,0,0,141
1,1,-16,-13,0.89,0,0,211
1,2,-16,-12,0.89,0,0,242
1,3,-16,-13,0.89,0,0,271
1,4,-15,-12,1.78,0,0,249
1,5,-14,-10,1.79,0,0,200
1,6,-15,-10,2.68,0,0,147
1,7,-15,-11,4.47,0,0,114
1,8,-15,-11,6.26,0,0,102
1,9,-14,-9,8.05,0,0,108
1,10,-14,-9,9.84,0,0,135
1,11,-13,-6,0.89,0,0,120
1,12,-13,-5,1.79,0,0,148
1,13,-12,-4,0.89,0,0,127
1,14,-12,-3,1.78,0,0,128
1,15,-12,-3,2.67,0,0,140
1,16,-11,-3,3.56,0,0,148
1,17,-11,-4,0.89,0,0,150
1,18,-12,-7,0.89,0,0,154
1,19,-12,-7,1.78,0,0,197
1,20,-12,-8,2.23,0,0,235
1,21,-12,-9,3.12,0,0,261
1,22,-13,-11,0.89,0,0,269
1,23,-14,-11,2.68,0,0,266
1,0,-15,-12,5.81,0,0,263
1,1,-14,-11,0.45,0,0,241
1,2,-14,-11,1.34,0,0,205
1,3,-14,-12,1.79,0,0,160
1,4,-14,-12,3.58,0,0,150
1,5,-14,-10,6.71,0,0,148
1,6,-14,-11,9.84,0,0,208
1,7,-15,-10,11.63,0,0,209
1,8,-13,-10,14.76,0,0,183
1,9,-13,-8,17.89,0,0,161
1,10,-12,-6,0.45,0,0,182
1,11,-11,-5,1.34,0,0,230
1,12,-11,-4,2.23,0,0,170
1,13,-11,-3,3.12,0,0,172
1,14,-10,-1,4.01,0,0,154
1,15,-11,-1,4.46,0,0,166
1,16,-10,-1,0.89,0,0,177
1,17,-10,-3,1.78,0,0,191
1,18,-10,-5,2.67,0,0,212
1,19,-10,-6,0.89,0,0,250
1,20,-11,-7,0.45,0,0,268
1,21,-10,-7,0.9,0,0,317
1,22,-11,-9,1.35,0,0,291
1,23,-12,-9,0.89,0,0,313
1,0,-12,-10,0.89,0,0,282
1,1,-13,-11,3.13,0,0,282
1,2,-11,-9,4.92,0,0,303
1,3,-13,-10,6.71,0,0,349
1,4,-13,-11,7.6,0,0,407
1,5,-13,-11,1.79,0,0,361
1,6,-14,-11,0.89,0,0,234
1,7,-14,-11,4.02,0,0,149
1,8,-14,-11,5.81,0,0,147
1,9,-11,-6,9.83,0,0,184
1,10,-10,-5,11.62,0,0,161
1,11,-9,-3,13.41,0,0,137
1,12,-8,-1,15.2,0,0,146
1,13,-9,0,16.99,0,0,144
1,14,-9,1,1.79,0,0,154
1,15,-9,1,0.89,0,0,173
1,16,-8,1,0.89,0,0,188
1,17,-7,-1,2.68,0,0,203
1,18,-7,-2,0.89,0,0,233
1,19,-7,-3,0.89,0,0,408
1,20,-5,-2,0.89,0,0,435
1,21,-5,-1,1.79,0,0,403
1,22,-5,-1,3.58,0,0,360
1,23,-6,-1,0.89,0,0,402
1,0,-4,-1,1.79,0,0,358
1,1,-5,-1,4.92,0,0,383
1,2,-5,-1,6.71,0,0,332
1,3,-5,-1,8.5,0,0,274
1,4,-4,-1,10.29,0,0,256
1,5,-4,-1,11.18,0,0,302
1,6,-4,-1,12.07,0,0,330
1,7,-4,-1,13.86,0,0,367
1,8,-4,0,0.89,0,0,297
1,9,-4,0,1.79,0,0,331
1,10,-4,0,0.89,0,0,323
1,11,-5,1,1.79,0,0,339
1,12,-5,1,0.89,0,0,301
1,13,-4,1,1.34,0,0,310
1,14,-4,1,0.89,0,0,305
1,15,-3,2,0.45,0,0,313
1,16,-3,2,1.34,0,0,336
1,17,-2,2,0.89,0,0,357
1,18,-3,1,0.89,0,0,485
1,19,-3,2,1.79,0,0,426
1,20,-3,1,4.92,0,0,403
1,21,-3,0,6.71,0,0,374
1,22,-3,0,8.5,0,0,333
1,23,-3,1,11.63,0,0,343
1,0,-2,0,14.76,0,0,364
1,1,-2,-1,16.55,0,0,389
1,2,-4,-2,19.68,0,0,368
1,3,-2,-1,25.49,0,0,267
1,4,-3,1,28.62,0,0,71
1,5,-3,0,31.75,0,0,81
1,6,-5,2,36.67,0,0,51
1,7,-9,1,41.59,0,0,49
1,8,-10,0,48.74,0,0,44
1,9,-10,0,55.89,0,0,45
1,10,-11,1,63.04,0,0,35
1,11,-13,0,71.09,0,0,29
1,12,-13,0,78.24,0,0,27
1,13,-13,-1,8.05,0,0,29
1,14,-13,-1,7.15,0,0,16
1,15,-15,-1,5.81,0,0,23
1,16,-14,-1,5.81,0,0,28
1,17,-15,-2,12.96,0,0,22
1,18,-16,-3,21.01,0,0,11
1,19,-17,-4,28.16,0,0,25
1,20,-19,-3,37.99,0,0,16
1,21,-18,-4,46.93,0,0,20
1,22,-19,-4,55.87,0,0,20
1,23,-19,-5,65.7,0,0,18
1,0,-20,-6,75.53,0,0,18
1,1,-20,-6,85.36,0,0,17
1,2,-20,-7,95.19,0,0,17
1,3,-22,-8,103.24,0,0,17
1,4,-23,-8,111.29,0,0,15
1,5,-24,-9,118.44,0,0,19
1,6,-24,-9,128.27,0,0,16
1,7,-25,-9,138.1,0,0,18
1,8,-25,-8,147.04,0,0,18
1,9,-25,-8,155.98,0,0,18
1,10,-22,-7,160.9,0,0,26
1,11,-22,-7,3.13,0,0,26
1,12,-22,-5,4.02,0,0,25
1,13,-21,-5,3.13,0,0,24
1,14,-21,-4,1.79,0,0,15
1,15,-20,-3,1.79,0,0,17
1,16,-21,-2,4.92,0,0,15
1,17,-20,-2,10.73,0,0,21
1,18,-20,-2,15.65,0,0,40
1,19,-19,-3,21.46,0,0,51
1,20,-19,-3,25.48,0,0,45
1,21,-17,-8,0.89,0,0,61
1,22,-18,-9,1.79,0,0,72
1,23,-18,-9,3.58,0,0,38
1,0,-18,-6,7.6,0,0,35
1,1,-20,-4,17.43,0,0,29
1,2,-21,-5,27.26,0,0,26
1,3,-21,-6,35.31,0,0,18
1,4,-20,-7,42.46,0,0,15
1,5,-20,-7,48.27,0,0,15
1,6,-20,-7,54.08,0,0,22
1,7,-20,-7,59,0,0,21
1,8,-19,-7,63.92,0,0,19
1,9,-20,-5,67.94,0,0,22
1,10,-19,-4,75.09,0,0,25
1,11,-19,-4,84.03,0,0,22
1,12,-19,-3,95.21,0,0,26
1,13,-18,-3,105.04,0,0,32
1,14,-19,-2,114.87,0,0,30
1,15,-18,-2,124.7,0,0,32
1,16,-18,-2,133.64,0,0,30
1,17,-18,-2,139.45,0,0,32
1,18,-18,-3,144.37,0,0,37
1,19,-17,-5,149.29,0,0,49
1,20,-18,-4,153.31,0,0,47
1,21,-17,-4,159.12,0,0,39
1,22,-17,-4,164.04,0,0,35
1,23,-17,-7,168.06,0,0,48
1,0,-17,-4,172.08,0,0,49
1,1,-17,-8,0.89,0,0,24
1,2,-17,-5,4.92,0,0,23
1,3,-18,-6,8.05,0,0,20
1,4,-18,-5,12.97,0,0,19
1,5,-18,-6,16.1,0,0,16
1,6,-18,-7,20.12,0,0,22
1,7,-18,-7,24.14,0,0,24
1,8,-18,-6,25.93,0,0,24
1,9,-18,-2,30.85,0,0,41
1,10,-17,-1,38.9,0,0,23
1,11,-17,0,46.95,0,0,19
1,12,-19,1,55,0,0,15
1,13,-20,2,63.05,0,0,19
1,14,-19,2,71.1,0,0,17
1,15,-19,3,79.15,0,0,17
1,16,-19,3,86.3,0,0,22
1,12,-15,-1,1.79,0,0,88
1,13,-18,0,3.58,0,0,85
1,14,-19,1,0.89,0,0,90
1,15,-18,2,1.79,0,0,127
1,16,-17,1,4.92,0,0,144
1,17,-14,-1,5.81,0,0,203
1,18,-13,-3,6.7,0,0,199
1,19,-13,-3,0.89,0,0,231
1,20,-11,-5,0.89,0,0,274
1,21,-13,-6,1.79,0,0,340
1,22,-11,-5,0.89,0,0,298
1,23,-11,-4,1.79,0,0,268
1,0,-11,-4,3.58,0,0,299
1,1,-12,-3,5.37,0,0,300
1,2,-11,-4,7.16,0,0,240
1,3,-11,-4,10.29,0,0,213
1,4,-12,-3,12.08,0,0,171
1,5,-11,-4,15.21,0,0,153
1,6,-11,-5,17,0,0,153
1,7,-11,-4,18.79,0,0,140
1,8,-11,-3,3.13,0,0,147
1,9,-10,-1,6.26,0,0,158
1,10,-9,1,9.39,0,0,153
1,11,-9,3,1.79,0,0,154
1,12,-9,4,4.92,0,0,143
1,13,-9,6,8.05,0,0,90
1,14,-13,8,16.1,0,0,55
1,15,-14,8,24.15,0,0,52
1,16,-14,7,32.2,0,0,41
1,17,-13,7,39.35,0,0,29
1,18,-13,5,47.4,0,0,37
1,19,-12,4,52.32,0,0,49
1,20,-13,3,56.34,0,0,56
1,21,-14,3,62.15,0,0,38
1,22,-14,3,67.96,0,0,37
1,23,-14,0,71.98,0,0,28
1,0,-13,-1,76.9,0,0,20
1,1,-15,-1,7.15,0,0,22
1,2,-15,-1,12.07,0,0,27
1,3,-15,-2,16.09,0,0,34
1,4,-15,-2,21.01,0,0,27
1,5,-15,-3,25.03,0,0,32
1,6,-15,-3,3.13,0,0,28
1,7,-15,-3,8.05,0,0,28
1,8,-16,-3,12.97,0,0,18
1,9,-17,-2,20.12,0,0,17
1,10,-18,-2,25.93,0,0,16
1,11,-19,-1,35.76,0,0,18
1,12,-21,1,44.7,0,0,16
1,13,-24,1,53.64,0,0,12
1,14,-25,1,62.58,0,0,13
1,15,-25,1,72.41,0,0,23
1,16,-24,1,82.24,0,0,21
1,17,-25,0,91.18,0,0,13
1,18,-22,0,99.23,0,0,14
1,19,-20,-1,103.25,0,0,23
1,20,-21,-1,105.04,0,0,16
1,21,-21,-4,0.89,0,0,25
1,22,-21,-2,4.02,0,0,20
1,23,-22,-2,7.15,0,0,25
1,0,-22,-1,12.07,0,0,19
1,1,-21,-4,15.2,0,0,24
1,2,-21,-4,0.89,0,0,25
1,3,-19,-8,1.79,0,0,20
1,4,-20,-7,0.89,0,0,24
1,5,-20,-8,1.79,0,0,17
1,6,-18,-10,0.89,0,0,10
1,7,-21,-2,4.02,0,0,11
1,8,-21,-1,9.83,0,0,16
1,9,-24,1,17.88,0,0,20
1,10,-25,2,26.82,0,0,13
1,11,-24,3,33.97,0,0,12
1,12,-25,4,42.02,0,0,12
1,13,-24,5,50.07,0,0,12
1,14,-25,6,57.22,0,0,12
1,15,-25,6,65.27,0,0,31
1,16,-23,6,72.42,0,0,36
1,17,-22,5,78.23,0,0,42
1,18,-21,5,84.04,0,0,52
1,19,-20,5,89.85,0,0,26
1,20,-20,3,93.87,0,0,24
1,21,-20,3,97.89,0,0,25
1,22,-19,3,101.02,0,0,43
1,23,-19,3,105.94,0,0,47
1,0,-18,0,109.96,0,0,61
1,1,-18,0,114.88,0,0,66
1,2,-15,-1,1.79,0,0,65
1,3,-15,-2,0.89,0,0,70
1,4,-16,-1,4.02,0,0,36
1,5,-16,-4,8.94,0,0,37
1,6,-15,-5,0.89,0,0,22
1,7,-16,-5,3.13,0,0,24
1,8,-15,-6,0.89,0,0,29
1,9,-15,0,4.02,0,0,35
1,10,-18,3,8.04,0,0,35
1,11,-21,5,12.96,0,0,33
1,12,-22,6,18.77,0,0,32
1,13,-22,7,25.92,0,0,25
1,14,-22,7,35.75,0,0,16
1,15,-23,7,45.58,0,0,26
1,16,-23,7,52.73,0,0,32
1,17,-22,6,58.54,0,0,36
1,18,-21,5,64.35,0,0,37
1,19,-21,5,70.16,0,0,45
1,20,-19,4,74.18,0,0,71
1,21,-19,5,78.2,0,0,67
1,22,-19,2,81.33,0,0,69
1,23,-18,2,84.46,0,0,94
1,0,-18,1,87.59,0,0,85
1,1,-18,1,90.72,0,0,35
1,2,-16,-3,93.85,0,0,26
1,3,-15,-2,95.64,0,0,24
1,4,-15,0,99.66,0,0,20
1,5,-17,1,105.47,0,0,16
1,6,-15,0,109.49,0,0,18
1,7,-18,0,113.51,0,0,19
1,8,-17,0,116.64,0,0,22
1,9,-17,2,120.66,0,0,17
1,10,-19,3,129.6,0,0,18
1,11,-19,4,138.54,0,0,11
1,12,-20,5,145.69,0,0,11
1,13,-17,5,4.02,0,0,16
1,14,-18,6,7.15,0,0,18
1,15,-18,6,0.89,0,0,17
1,16,-18,5,1.79,0,0,19
1,17,-17,4,3.58,0,0,26
1,18,-17,1,1.79,0,0,24
1,19,-15,-1,2.68,0,0,54
1,20,-13,-1,0.89,0,0,71
1,21,-8,-1,5.81,0,0,129
1,22,-7,-2,10.73,0,0,145
1,23,-7,-2,13.86,0,0,101
2,0,-8,-3,15.65,0,0,65
2,1,-9,-4,0.89,0,0,70
2,2,-9,-4,1.78,0,0,67
2,3,-9,-4,0.89,0,0,76
2,4,-9,-4,0.89,0,0,76
2,5,-9,-5,0.89,0,0,68
2,6,-10,-4,0.89,0,0,73
2,7,-10,-4,0.89,0,0,73
2,8,-10,-6,0.89,0,0,64
2,9,-9,-3,1.79,0,0,53
2,10,-9,-2,0.89,0,0,72
2,11,-9,-1,1.79,0,0,78
2,12,-10,0,6.71,0,0,72
2,13,-12,0,10.73,0,0,56
2,14,-14,1,14.75,0,0,54
2,15,-14,0,16.54,0,0,40
2,16,-12,0,19.67,0,0,49
2,17,-10,-1,21.46,0,0,63
2,18,-9,-2,23.25,0,0,66
2,19,-10,-2,26.38,0,0,64
2,20,-10,-4,30.4,0,0,63
2,21,-10,-5,34.42,0,0,65
2,22,-10,-5,39.34,0,0,64
2,23,-11,-7,41.13,0,0,64
2,0,-10,-7,42.92,0,0,62
2,1,-11,-8,0.89,0,0,56
2,2,-11,-9,1.34,0,0,87
2,3,-11,-10,1.79,0,0,72
2,4,-12,-10,0.89,0,0,104
2,5,-13,-11,0.89,0,0,97
2,6,-11,-9,0.89,0,0,96
2,7,-11,-8,0.89,0,0,86
2,8,-10,-7,1.79,0,0,85
2,9,-14,-6,4.92,0,0,92
2,10,-18,-5,10.73,0,0,55
2,11,-20,-3,14.75,0,0,36
2,12,-20,-2,16.54,0,0,27
2,13,-20,-1,18.33,0,0,25
2,14,-20,0,1.79,0,0,28
2,15,-22,0,2.68,0,0,32
2,16,-22,1,3.57,0,0,35
2,17,-19,-2,1.79,0,0,43
2,18,-20,-4,3.13,0,0,70
2,19,-21,-3,4.02,0,0,83
2,20,-19,-6,0.89,0,0,66
2,21,-16,-7,0.89,0,0,70
2,22,-21,-5,1.79,0,0,80
2,23,-19,-8,4.92,0,0,88
2,0,-20,-8,8.05,0,0,69
2,1,-21,-8,0.89,0,0,71
